Posição;Município;IBGE;Descrição Faixa;Prestadores;Serviços;Natureza Jurídica;POP_TOT;POP_URB;Ano;IDAA;IDES;IDRS;IDAP;INSA;Desempenho;Cod_Prestador
1;Poços de Caldas;3151800;3 - De 100.001 até 250.000 hab.;[31518011] Departamento Municipal de Água e Esgoto - DMAE | [31518040] SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS - SMSP;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;163742;165701,0;2020-2022;0,3976023976023977;0,8332;0,7372093023255812;0,7110220440881764;0,6697584360040388;Alto;31518011
2;São Vicente de Minas;3165305;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31653011] Prefeitura Municipal de São Vicente de Minas - PMSVM | [31653040] Prefeitura Municipal de São Vicente de Minas - PMSVM;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;6804;6676,0;2020-2022;0,5633401221995926;0,7575999999999999;0,6146690518783542;0,7330661322645291;0,6671688265856189;Alto;31062000
3;Cruzeiro da Fortaleza;3120706;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31207011] Prefeitura Municipal de Cruzeiro da Fortaleza - PMCF;Esgotos | Água;Administração pública direta | Sociedade de economia mista com administração pública;3521;3119,0;2020-2022;0,6509164969450102;0,8490218642117376;0,49518900343642613;0,6717434869739479;0,6667177128917805;Alto;31062000
4;Itaú de Minas;3133758;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31337511] Prefeitura Municipal de Itaú de Minas - PMIM | [31337540] PREFEITURA MUNICIPAL DE ITAÚ DE MINAS - PMIM;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;14406;15869,0;2020-2022;0,4871690427698575;0,6956;0,7162717219589259;0,7422845691382765;0,6603313334667649;Alto;31062000
5;Santa Bárbara do Monte Verde;3157278;1 - De 1 até 30.000 hab.;[31572740] PREFEITURA MUNICIPAL DE SANTA BARBARA DO MONTE VERDE - PSBMV;Res. Sólidos;Administração pública direta;3095;1855,0;2020-2022;;;0,8093189964157708;0,49392592592592593;0,6516224611708483;Alto;31572740
6;São Bento Abade;3160801;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31608011] Prefeitura Municipal de São Bento Abade - PMSBA | [31608040] PREFEITURA MUNICIPAL - MG;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;4713;5010,0;2020-2022;0,639918533604888;0,8068000000000002;0,3848032564450474;0,7607214428857716;0,6480608082339268;Alto;31062000
7;São Sebastião da Bela Vista;3164407;1 - De 1 até 30.000 hab.;[31644040] Prefeitura Municipal de São Sebastião da Bela Vista - PMSSBV;Res. Sólidos;Administração pública direta;6387;3269,0;2020-2022;0,5613428280773144;0,7710569105691056;0,7547107438016528;0,5016032064128256;0,6471784222152247;Alto;31644040
8;Sacramento;3156908;1 - De 1 até 30.000 hab.;[31569011] Serviço Autônomo de Água e Esgoto de Sacramento - SAAE | [31569040] Secretaria Municipal de Meio Ambiente - SEMMA;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;26670;21421,0;2020-2022;0,4867132867132869;0,7712000000000001;0,5908878504672896;0,7330661322645291;0,6454668173612764;Alto;31569011
9;Carmópolis de Minas;3114501;1 - De 1 até 30.000 hab.;[31145011] Serviço de Saneamento Ambiental Municipal - SESAM | [31145040] Serviço de Saneamento Ambiental Municipal - SESAM;Água e Esgoto | Res. Sólidos;Autarquia | Autarquia;18003;13699,0;2020-2022;0,5706720977596742;0,7412;0,7586762075134166;0,5006012024048097;0,6427873769194752;Alto;31145011
10;Nova Ponte;3145000;1 - De 1 até 30.000 hab.;[31450011] Prefeitura Municipal de Nova Ponte - DMAE | [31450040] PREFEITURA MUNICIPAL DE NOVA PONTE - PMNP;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;14598;13765,0;2020-2022;0,6158859470468432;0,7279631760644419;0,4332737030411448;0,7827655310621242;0,6399720893036386;Alto;31450011
