Posição;Município;IBGE;Descrição Faixa;Prestadores;Serviços;Natureza Jurídica;POP_TOT;POP_URB;Ano;IDAA;IDES;IDRS;IDAP;INSA;Desempenho;Cod_Prestador
1;Poços de Caldas;3151800;3 - De 100.001 até 250.000 hab.;[31518011] Departamento Municipal de Água e Esgoto - DMAE | [31518040] SECRETARIA MUNICIPAL DE SERVIÇOS PÚBLICOS - SMSP;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;163742;;2022;0,43276723276723295;0,8428000000000001;0,7598784194528875;0,7684873949579833;0,700983261794526;Alto;31518011
2;São Vicente de Minas;3165305;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31653011] Prefeitura Municipal de São Vicente de Minas - PMSVM | [31653040] Prefeitura Municipal de São Vicente de Minas - PMSVM;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;6804;;2022;0,4993890020366599;0,748;0,720508166969147;0,7684873949579833;0,6840961409909476;Alto;31062000
3;Cruzeiro da Fortaleza;3120706;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31207011] Prefeitura Municipal de Cruzeiro da Fortaleza - PMCF;Esgotos | Água;Administração pública direta | Sociedade de economia mista com administração pública;3521;;2022;0,49327902240325866;0,8490218642117376;;0,704201680672269;0,6821675224290885;Alto;31062000
4;Alterosa;3102001;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31020011] Prefeitura Municipal de Alterosa - PMA | [31020040] Prefeitura Municipal de Alterosa - PMA;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;13915;;2022;0,49164969450101836;0,82692750287687;0,560573476702509;0,8205882352941176;0,6749347273436288;Alto;31062000
5;Nova Ponte;3145000;1 - De 1 até 30.000 hab.;[31450011] Prefeitura Municipal de Nova Ponte - DMAE | [31450040] PREFEITURA MUNICIPAL DE NOVA PONTE - PMNP;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;14598;;2022;0,5839103869653768;0,8490218642117376;0,42127659574468074;0,8205882352941176;0,6686992705539782;Alto;31450011
6;São Bento Abade;3160801;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31608011] Prefeitura Municipal de São Bento Abade - PMSBA | [31608040] PREFEITURA MUNICIPAL - MG;Esgotos | Água | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;4713;;2022;0,5759674134419552;0,8591999999999999;0,5074157303370787;0,7163865546218487;0,6647424246002207;Alto;31062000
7;Araguari;3103504;3 - De 100.001 até 250.000 hab.;[31035011] Superintendência de Água e Esgoto - SAE | [31035040] SECRETARIA MUNICIPAL DE SERVIÇOS URBANOS / SECRETARIA MUNICIPAL  DE MEIO AMBIENTE - SMSU/SMMA;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;117808;;2022;0,5370672097759674;0,8236000000000001;0,6255319148936169;0,6642857142857143;0,6626212097388247;Alto;31035011
8;Capetinga;3112406;1 - De 1 até 30.000 hab.;[31062000] Companhia de Saneamento de Minas Gerais - COPASA | [31124011] Prefeitura Municipal de Capetinga - PMC | [31124040] Prefeitura Municipal de Capetinga - PM;Esgotos | Água e Esgoto | Res. Sólidos;Administração pública direta | Sociedade de economia mista com administração pública | Administração pública direta;6562;;2022;0,441276595744681;0,7554471544715446;0,6842454394693201;0,7684873949579833;0,6623641461608822;Alto;31062000
9;Sacramento;3156908;1 - De 1 até 30.000 hab.;[31569011] Serviço Autônomo de Água e Esgoto de Sacramento - SAAE | [31569040] Secretaria Municipal de Meio Ambiente - SEMMA;Água e Esgoto | Res. Sólidos;Autarquia | Administração pública direta;26670;;2022;0,37882117882117894;0,7664000000000001;0,7327231121281466;0,7684873949579833;0,6616079214768272;Alto;31569011
10;Fortuna de Minas;3126406;1 - De 1 até 30.000 hab.;[31264011] Prefeitura Municipal de Fortuna de Minas - PMFM | [31264040] PREFEITURA MUNICIPAL DE FORTUNA DE MINAS - PMFM;Água e Esgoto | Res. Sólidos;Administração pública direta | Administração pública direta;3093;;2022;0,5354378818737271;0,8691542288557214;0,7938931297709924;0,4254201680672269;0,6559763521419169;Alto;31264011
